Matchday,Home Team,Away Team,Team,Player,Event,Bodypart,Time,Stoppage
22,Fulham,Newcastle United,Newcastle United,Hatem Ben Arfa,Shot outside goal area,Right Foot,85,
22,Fulham,Newcastle United,Fulham,Clint Dempsey,Shot outside goal area,Right Foot,89,
22,Manchester City,Tottenham Hotspur,Manchester City,Samir Nasri,Shot outside penalty area,Right Foot,56,
22,Manchester City,Tottenham Hotspur,Manchester City,Joleon Lescott,Flick on from corner kick,Other,59,
22,Manchester City,Tottenham Hotspur,Tottenham Hotspur,Jermain Defoe,Shot outside penalty area,Right Foot,60,
22,Manchester City,Tottenham Hotspur,Tottenham Hotspur,Gareth Bale,Shot outside penalty area,Left Foot,65,
22,Queens Park Rangers,Wigan Athletic,Queens Park Rangers,Ákos Buzsáky,Direct from free kick,Foot,45,
22,Queens Park Rangers,Wigan Athletic,Wigan Athletic,Hugo Rodallega,Direct from free kick,Foot,66,
22,Queens Park Rangers,Wigan Athletic,Queens Park Rangers,Tommy Smith,Shot outside penalty area,Foot,81,
22,Stoke City,West Bromwich Albion,West Bromwich Albion,James Morrison,Shot outside penalty area,Foot,35,
22,Stoke City,West Bromwich Albion,Stoke City,Cameron Jerome,Cross from open play,Head,86,
22,Stoke City,West Bromwich Albion,West Bromwich Albion,Graham Dorrans,Direct from free kick,Foot,90,1
22,Sunderland,Swansea City,Sunderland,Stéphane Sessègnon,Shot outside goal area,Right Foot,14,
22,Sunderland,Swansea City,Sunderland,Craig Gardner,Shot outside penalty area,Foot,85,
22,Wolverhampton Wanderers,Aston Villa,Wolverhampton Wanderers,Michael Kightly,Shot outside goal area,Left Foot,21,
22,Wolverhampton Wanderers,Aston Villa,Wolverhampton Wanderers,David Edwards,Cross from corner kick,Head,31,
22,Wolverhampton Wanderers,Aston Villa,Aston Villa,Robbie Keane,Shot following defensive giveaway,Right Foot,51,
22,Wolverhampton Wanderers,Aston Villa,Aston Villa,Robbie Keane,Shot outside penalty area,Foot,84,
23,Aston Villa,Queens Park Rangers,Queens Park Rangers,Djibril Cissé,Shot following rebound,Right Foot,12,
23,Aston Villa,Queens Park Rangers,Queens Park Rangers,Stephen Warnock,Cross from open play,Head,28,
23,Aston Villa,Queens Park Rangers,Aston Villa,Darren Bent,Shot inside goal area,Right Foot,45,
23,Aston Villa,Queens Park Rangers,Aston Villa,Charles N'Zogbia,Cross from open play,Left Foot,79,
23,Blackburn Rovers,Newcastle United,Newcastle United,Scott Dann,Deflected shot,Unknown,12,
23,Blackburn Rovers,Newcastle United,Newcastle United,Gabriel Obertan,Through pass creates 1-v-1,Right Foot,90,2
23,Everton,Manchester City,Everton,Darron Gibson,Deflected shot,Right Foot,60,
23,Fulham,West Bromwich Albion,Fulham,Clint Dempsey,Shot outside goal area,Right Foot,69,
23,Fulham,West Bromwich Albion,West Bromwich Albion,Somen Tchoyi,Shot inside goal area,Right Foot,85,
23,Sunderland,Norwich City,Sunderland,Fraizer Campbell,Shot outside penalty area,Foot,21,
23,Sunderland,Norwich City,Sunderland,Stéphane Sessègnon,Cross from open play,Head,28,
23,Sunderland,Norwich City,Sunderland,Daniel Ayala,Deflected shot,Unknown,54,
23,Swansea City,Chelsea,Swansea City,Scott Sinclair,Cross from free kick,Left Foot,39,
23,Swansea City,Chelsea,Chelsea,Neil Taylor,Deflected shot,Unknown,90,3
23,Tottenham Hotspur,Wigan Athletic,Tottenham Hotspur,Gareth Bale,Shot inside goal area,Left Foot,29,
23,Tottenham Hotspur,Wigan Athletic,Tottenham Hotspur,Luka Modrić,Shot outside penalty area,Right Foot,34,
23,Tottenham Hotspur,Wigan Athletic,Tottenham Hotspur,Gareth Bale,Shot outside penalty area,Left Foot,64,
23,Tottenham Hotspur,Wigan Athletic,Wigan Athletic,James McArthur,Shot outside goal area,Left Foot,80,
23,Wolverhampton Wanderers,Liverpool,Liverpool,Andy Carroll,Cross from open play,Left Foot,52,
23,Wolverhampton Wanderers,Liverpool,Liverpool,Craig Bellamy,Shot outside penalty area,Right Foot,61,
23,Wolverhampton Wanderers,Liverpool,Liverpool,Dirk Kuyt,Shot outside goal area,Right Foot,78,
24,Arsenal,Blackburn Rovers,Arsenal,Robin van Persie,Shot inside goal area,Left Foot,2,
24,Arsenal,Blackburn Rovers,Blackburn Rovers,Morten Gamst Pedersen,Direct from free kick,Left Foot,31,
24,Arsenal,Blackburn Rovers,Arsenal,Robin van Persie,Shot inside goal area,Right Foot,38,
24,Arsenal,Blackburn Rovers,Arsenal,Alex Oxlade-Chamberlain,Shot inside goal area,Right Foot,40,
24,Arsenal,Blackburn Rovers,Arsenal,Mikel Arteta,Shot outside penalty area,Right Foot,51,
24,Arsenal,Blackburn Rovers,Arsenal,Alex Oxlade-Chamberlain,Shot outside goal area,Right Foot,54,
24,Arsenal,Blackburn Rovers,Arsenal,Robin van Persie,Shot inside goal area,Right Foot,62,
24,Arsenal,Blackburn Rovers,Arsenal,Thierry Henry,Shot outside goal area,Right Foot,90,3
24,Chelsea,Manchester United,Chelsea,Jonny Evans,Deflected shot,Unknown,36,
24,Chelsea,Manchester United,Chelsea,Juan Mata,Shot outside penalty area,Foot,46,
24,Chelsea,Manchester United,Chelsea,David Luiz,Cross from free kick,Head,50,
24,Chelsea,Manchester United,Manchester United,Javier Hernández,Cross from open play,Head,84,
24,Manchester City,Fulham,Manchester City,Chris Baird,Deflected shot,Unknown,30,
24,Manchester City,Fulham,Manchester City,Edin Džeko,Shot outside goal area,Right Foot,72,
24,Newcastle United,Aston Villa,Newcastle United,Demba Ba,Shot outside goal area,Right Foot,30,
24,Newcastle United,Aston Villa,Aston Villa,Robbie Keane,Cross from open play,Right Foot,45,5
24,Newcastle United,Aston Villa,Newcastle United,Papiss Demba Cissé,Cross from open play,Left Foot,71,
24,Norwich City,Bolton Wanderers,Norwich City,Andrew Surman,Shot outside goal area,Right Foot,69,
24,Norwich City,Bolton Wanderers,Norwich City,Anthony Pilkington,Shot following rebound,Foot,85,
24,Queens Park Rangers,Wolverhampton Wanderers,Queens Park Rangers,Bobby Zamora,Shot outside goal area,Right Foot,16,
24,Queens Park Rangers,Wolverhampton Wanderers,Wolverhampton Wanderers,Matthew Jarvis,Cross from corner kick,Right Foot,46,
24,Queens Park Rangers,Wolverhampton Wanderers,Wolverhampton Wanderers,Kevin Doyle,Shot outside goal area,Right Foot,71,
24,Stoke City,Sunderland,Sunderland,James McClean,Shot outside goal area,Right Foot,60,
24,West Bromwich Albion,Swansea City,West Bromwich Albion,Marc-Antoine Fortuné,Shot inside goal area,Left Foot,54,
24,West Bromwich Albion,Swansea City,Swansea City,Gylfi Sigurðsson,Cross from open play,Left Foot,55,
24,West Bromwich Albion,Swansea City,Swansea City,Danny Graham,Shot inside goal area,Right Foot,59,
24,Wigan Athletic,Everton,Wigan Athletic,Philip Neville,Deflected shot,Unknown,76,
24,Wigan Athletic,Everton,Everton,Victor Anichebe,Cross from corner kick,Head,83,
25,Aston Villa,Manchester City,Manchester City,Joleon Lescott,Shot inside goal area,Right Foot,63,
25,Blackburn Rovers,Queens Park Rangers,Blackburn Rovers,Yakubu,Shot outside penalty area,Right Foot,14,
25,Blackburn Rovers,Queens Park Rangers,Blackburn Rovers,Steven N'Zonzi,Shot outside goal area,Left Foot,23,
25,Blackburn Rovers,Queens Park Rangers,Blackburn Rovers,Nedum Onuoha,Deflected shot,Unknown,45,5
25,Blackburn Rovers,Queens Park Rangers,Queens Park Rangers,Jamie Mackie,Shot inside goal area,Left Foot,71,
25,Blackburn Rovers,Queens Park Rangers,Queens Park Rangers,Jamie Mackie,Shot outside goal area,Right Foot,90,2
25,Bolton Wanderers,Wigan Athletic,Wigan Athletic,Gary Caldwell,Cross from corner kick,Head,43,
25,Bolton Wanderers,Wigan Athletic,Bolton Wanderers,Mark Davies,Shot outside penalty area,Left Foot,67,
25,Bolton Wanderers,Wigan Athletic,Wigan Athletic,James McArthur,Shot following rebound,Foot,77,
25,Everton,Chelsea,Everton,Steven Pienaar,Shot outside goal area,Left Foot,5,
25,Everton,Chelsea,Everton,Denis Stracqualursi,Shot outside goal area,Right Foot,71,
25,Fulham,Stoke City,Fulham,Pavel Pogrebnyak,Shot following rebound,Left Foot,16,
25,Fulham,Stoke City,Fulham,Thomas Sørensen,Deflected shot,Other,28,
25,Fulham,Stoke City,Stoke City,Ryan Shawcross,Cross from corner kick,Head,78,
25,Manchester United,Liverpool,Manchester United,Wayne Rooney,Cross from corner kick,Right Foot,47,
25,Manchester United,Liverpool,Manchester United,Wayne Rooney,Shot outside goal area,Left Foot,50,
25,Manchester United,Liverpool,Liverpool,Luis Suárez,Cross from free kick,Unknown,80,
25,Sunderland,Arsenal,Sunderland,James McClean,Shot outside goal area,Foot,70,
25,Sunderland,Arsenal,Arsenal,Aaron Ramsey,Shot outside penalty area,Right Foot,75,
25,Sunderland,Arsenal,Arsenal,Thierry Henry,Cross from open play,Right Foot,90,1
25,Swansea City,Norwich City,Swansea City,Danny Graham,Shot outside goal area,Right Foot,23,
25,Swansea City,Norwich City,Norwich City,Grant Holt,Cross from open play,Head,47,
25,Swansea City,Norwich City,Norwich City,Anthony Pilkington,Deflected shot,Right Foot,51,
25,Swansea City,Norwich City,Norwich City,Grant Holt,Through pass creates 1-v-1,Right Foot,63,
25,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Benoît Assou-Ekotto,Shot inside goal area,Left Foot,4,
25,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Louis Saha,Cross from open play,Left Foot,6,
25,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Louis Saha,Shot outside goal area,Right Foot,20,
25,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Niko Kranjčar,Shot outside goal area,Left Foot,34,
25,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Emmanuel Adebayor,Shot outside goal area,Right Foot,64,
25,Wolverhampton Wanderers,West Bromwich Albion,West Bromwich Albion,Peter Odemwingie,Shot outside penalty area,Left Foot,34,
25,Wolverhampton Wanderers,West Bromwich Albion,Wolverhampton Wanderers,Steven Fletcher,Shot outside penalty area,Left Foot,45,1
25,Wolverhampton Wanderers,West Bromwich Albion,West Bromwich Albion,Jonas Olsson,Shot outside goal area,Left Foot,64,
25,Wolverhampton Wanderers,West Bromwich Albion,West Bromwich Albion,Peter Odemwingie,Shot inside goal area,Left Foot,77,
25,Wolverhampton Wanderers,West Bromwich Albion,West Bromwich Albion,Keith Andrews,Deflected shot,Foot,85,
25,Wolverhampton Wanderers,West Bromwich Albion,West Bromwich Albion,Peter Odemwingie,Shot inside goal area,Right Foot,88,
26,Arsenal,Tottenham Hotspur,Tottenham Hotspur,Louis Saha,Deflected shot,Left Foot,3,
26,Arsenal,Tottenham Hotspur,Arsenal,Bacary Sagna,Cross from open play,Head,40,
26,Arsenal,Tottenham Hotspur,Arsenal,Robin van Persie,Shot outside penalty area,Left Foot,43,
26,Arsenal,Tottenham Hotspur,Arsenal,Tomáš Rosický,Shot inside goal area,Left Foot,51,
26,Arsenal,Tottenham Hotspur,Arsenal,Theo Walcott,Shot inside goal area,Right Foot,65,
26,Arsenal,Tottenham Hotspur,Arsenal,Theo Walcott,Shot outside goal area,Right Foot,68,
26,Chelsea,Bolton Wanderers,Chelsea,David Luiz,Shot outside goal area,Right Foot,48,
26,Chelsea,Bolton Wanderers,Chelsea,Didier Drogba,Cross from corner kick,Head,61,
26,Chelsea,Bolton Wanderers,Chelsea,Frank Lampard,Cross from open play,Right Foot,79,
26,Liverpool,Everton,Liverpool,Steven Gerrard,Shot following rebound,Left Foot,34,
26,Liverpool,Everton,Liverpool,Steven Gerrard,Shot outside goal area,Right Foot,51,
26,Liverpool,Everton,Liverpool,Steven Gerrard,Shot outside goal area,Left Foot,90,3
26,Manchester City,Blackburn Rovers,Manchester City,Mario Balotelli,Shot inside goal area,Left Foot,30,
26,Manchester City,Blackburn Rovers,Manchester City,Sergio Agüero,Cross from corner kick,Right Foot,52,
26,Manchester City,Blackburn Rovers,Manchester City,Edin Džeko,Cross from open play,Head,81,
26,Newcastle United,Wolverhampton Wanderers,Newcastle United,Papiss Demba Cissé,Shot following rebound,Left Foot,6,
26,Newcastle United,Wolverhampton Wanderers,Newcastle United,Jonás Gutiérrez,Shot outside goal area,Foot,18,
26,Newcastle United,Wolverhampton Wanderers,Wolverhampton Wanderers,Matthew Jarvis,Shot outside goal area,Right Foot,50,
26,Newcastle United,Wolverhampton Wanderers,Wolverhampton Wanderers,Kevin Doyle,Cross from free kick,Right Foot,66,
26,Norwich City,Manchester United,Manchester United,Paul Scholes,Cross from open play,Head,7,
26,Norwich City,Manchester United,Norwich City,Grant Holt,Shot outside goal area,Left Foot,83,
26,Norwich City,Manchester United,Manchester United,Ryan Giggs,Cross from open play,Left Foot,90,2
26,Queens Park Rangers,Fulham,Fulham,Pavel Pogrebnyak,Shot inside goal area,Left Foot,7,
26,Stoke City,Swansea City,Stoke City,Matthew Upson,Cross from corner kick,Head,24,
26,Stoke City,Swansea City,Stoke City,Peter Crouch,Cross from throw-in,Head,39,
26,West Bromwich Albion,Sunderland,West Bromwich Albion,Peter Odemwingie,Cross from open play,Head,3,
26,West Bromwich Albion,Sunderland,West Bromwich Albion,James Morrison,Cross from open play,Head,41,
26,West Bromwich Albion,Sunderland,West Bromwich Albion,Peter Odemwingie,Shot outside penalty area,Left Foot,48,
26,West Bromwich Albion,Sunderland,West Bromwich Albion,Keith Andrews,Shot outside goal area,Right Foot,90,1
27,Blackburn Rovers,Aston Villa,Aston Villa,Charles N'Zogbia,Shot outside goal area,Left Foot,24,
27,Blackburn Rovers,Aston Villa,Blackburn Rovers,David Dunn,Cross from open play,Head,85,
27,Fulham,Wolverhampton Wanderers,Fulham,Pavel Pogrebnyak,Cross from corner kick,Head,36,
27,Fulham,Wolverhampton Wanderers,Fulham,Pavel Pogrebnyak,Shot outside goal area,Right Foot,44,
27,Fulham,Wolverhampton Wanderers,Fulham,Clint Dempsey,Shot outside goal area,Right Foot,56,
27,Fulham,Wolverhampton Wanderers,Fulham,Pavel Pogrebnyak,Shot following rebound,Foot,61,
27,Fulham,Wolverhampton Wanderers,Fulham,Clint Dempsey,Shot outside goal area,Left Foot,83,
27,Liverpool,Arsenal,Liverpool,Laurent Koscielny,Cross from open play,Unknown,23,
27,Liverpool,Arsenal,Arsenal,Robin van Persie,Cross from open play,Head,31,
27,Liverpool,Arsenal,Arsenal,Robin van Persie,Shot outside goal area,Left Foot,90,2
27,Manchester City,Bolton Wanderers,Manchester City,Grétar Steinsson,Deflected shot,Unknown,23,
27,Manchester City,Bolton Wanderers,Manchester City,Mario Balotelli,Shot inside goal area,Right Foot,69,
27,Newcastle United,Sunderland,Newcastle United,Shola Ameobi,Shot inside goal area,Right Foot,90,1
27,Queens Park Rangers,Everton,Everton,Royston Drenthe,Shot outside penalty area,Foot,31,
27,Queens Park Rangers,Everton,Queens Park Rangers,Bobby Zamora,Cross from free kick,Head,36,
27,Stoke City,Norwich City,Stoke City,Matthew Etherington,Shot outside goal area,Left Foot,72,
27,Tottenham Hotspur,Manchester United,Manchester United,Wayne Rooney,Cross from corner kick,Head,45,
27,Tottenham Hotspur,Manchester United,Manchester United,Ashley Young,Shot following rebound,Right Foot,60,
27,Tottenham Hotspur,Manchester United,Manchester United,Ashley Young,Shot outside penalty area,Right Foot,69,
27,Tottenham Hotspur,Manchester United,Tottenham Hotspur,Jermain Defoe,Shot outside penalty area,Right Foot,87,
27,West Bromwich Albion,Chelsea,West Bromwich Albion,Gareth McAuley,Shot inside goal area,Left Foot,82,
27,Wigan Athletic,Swansea City,Swansea City,Gylfi Sigurðsson,Shot outside penalty area,Right Foot,45,2
27,Wigan Athletic,Swansea City,Swansea City,Gylfi Sigurðsson,Direct from free kick,Foot,54,
28,Arsenal,Newcastle United,Newcastle United,Hatem Ben Arfa,Shot outside goal area,Left Foot,14,
28,Arsenal,Newcastle United,Arsenal,Robin van Persie,Shot outside goal area,Left Foot,15,
28,Arsenal,Newcastle United,Arsenal,Thomas Vermaelen,Shot inside goal area,Right Foot,90,5
28,Aston Villa,Fulham,Aston Villa,Andreas Weimann,Shot following rebound,Foot,90,3
28,Bolton Wanderers,Queens Park Rangers,Bolton Wanderers,Darren Pratley,Cross from open play,Head,37,
28,Bolton Wanderers,Queens Park Rangers,Queens Park Rangers,Djibril Cissé,Shot outside goal area,Right Foot,48,
28,Bolton Wanderers,Queens Park Rangers,Bolton Wanderers,Ivan Klasnić,Shot outside goal area,Left Foot,86,
28,Chelsea,Stoke City,Chelsea,Didier Drogba,Shot inside goal area,Right Foot,68,
28,Everton,Tottenham Hotspur,Everton,Nikica Jelavić,Shot inside goal area,Right Foot,22,
28,Manchester United,West Bromwich Albion,Manchester United,Wayne Rooney,Shot outside goal area,Left Foot,35,
28,Norwich City,Wigan Athletic,Norwich City,Wes Hoolahan,Cross from throw-in,Left Foot,10,
28,Norwich City,Wigan Athletic,Wigan Athletic,Victor Moses,Through pass creates 1-v-1,Left Foot,68,
28,Sunderland,Liverpool,Sunderland,Nicklas Bendtner,Shot following rebound,Foot,56,
28,Swansea City,Manchester City,Swansea City,Luke Moore,Cross from open play,Head,83,
28,Wolverhampton Wanderers,Blackburn Rovers,Blackburn Rovers,Junior Hoilett,Cross from throw-in,Right Foot,43,
28,Wolverhampton Wanderers,Blackburn Rovers,Blackburn Rovers,Junior Hoilett,Shot outside penalty area,Foot,69,
29,Aston Villa,Bolton Wanderers,Aston Villa,Stephen Warnock,Shot outside goal area,Left Foot,61,
29,Aston Villa,Bolton Wanderers,Bolton Wanderers,David Ngog,Shot outside goal area,Right Foot,63,
29,Blackburn Rovers,Sunderland,Blackburn Rovers,Junior Hoilett,Shot outside penalty area,Left Foot,58,
29,Blackburn Rovers,Sunderland,Blackburn Rovers,Yakubu,Cross from open play,Head,86,
29,Everton,Arsenal,Arsenal,Thomas Vermaelen,Cross from corner kick,Head,8,
29,Fulham,Swansea City,Swansea City,Gylfi Sigurðsson,Cross from open play,Head,36,
29,Fulham,Swansea City,Swansea City,Gylfi Sigurðsson,Shot outside goal area,Right Foot,66,
29,Fulham,Swansea City,Swansea City,Joe Allen,Shot outside penalty area,Right Foot,77,
29,Manchester City,Chelsea,Chelsea,Gary Cahill,Shot outside goal area,Right Foot,60,
29,Manchester City,Chelsea,Manchester City,Samir Nasri,Shot inside goal area,Right Foot,85,
29,Newcastle United,Norwich City,Newcastle United,Papiss Demba Cissé,Shot outside goal area,Right Foot,11,
29,Queens Park Rangers,Liverpool,Liverpool,Sebastián Coates,Shot following rebound,Right Foot,54,
29,Queens Park Rangers,Liverpool,Liverpool,Dirk Kuyt,Shot following rebound,Foot,72,
29,Queens Park Rangers,Liverpool,Queens Park Rangers,Shaun Derry,Cross from corner kick,Head,77,
29,Queens Park Rangers,Liverpool,Queens Park Rangers,Djibril Cissé,Cross from corner kick,Head,86,
29,Queens Park Rangers,Liverpool,Queens Park Rangers,Jamie Mackie,Shot outside goal area,Right Foot,90,1
29,Tottenham Hotspur,Stoke City,Stoke City,Cameron Jerome,Flick on from direct free kick,Right Foot,75,
29,Tottenham Hotspur,Stoke City,Tottenham Hotspur,Rafael van der Vaart,Cross from open play,Head,90,3
29,Wigan Athletic,West Bromwich Albion,Wigan Athletic,James McArthur,Shot inside goal area,Right Foot,54,
29,Wigan Athletic,West Bromwich Albion,West Bromwich Albion,Paul Scharner,Cross from corner kick,Head,65,
29,Wolverhampton Wanderers,Manchester United,Manchester United,Jonny Evans,Shot inside goal area,Right Foot,21,
29,Wolverhampton Wanderers,Manchester United,Manchester United,Antonio Valencia,Shot inside goal area,Right Foot,43,
29,Wolverhampton Wanderers,Manchester United,Manchester United,Danny Welbeck,Shot outside goal area,Right Foot,45,1
29,Wolverhampton Wanderers,Manchester United,Manchester United,Javier Hernández,Cross from open play,Head,56,
29,Wolverhampton Wanderers,Manchester United,Manchester United,Javier Hernández,Cross from open play,Right Foot,61,
30,Arsenal,Aston Villa,Arsenal,Kieran Gibbs,Shot outside goal area,Left Foot,16,
30,Arsenal,Aston Villa,Arsenal,Theo Walcott,Shot inside goal area,Right Foot,25,
30,Arsenal,Aston Villa,Arsenal,Mikel Arteta,Direct from free kick,Right Foot,90,3
30,Bolton Wanderers,Blackburn Rovers,Bolton Wanderers,David Wheater,Cross from open play,Head,29,
30,Bolton Wanderers,Blackburn Rovers,Bolton Wanderers,David Wheater,Cross from corner kick,Head,35,
30,Bolton Wanderers,Blackburn Rovers,Blackburn Rovers,Steven N'Zonzi,Cross from throw-in,Head,56,
30,Liverpool,Wigan Athletic,Liverpool,Luis Suárez,Shot outside goal area,Right Foot,47,
30,Liverpool,Wigan Athletic,Wigan Athletic,Gary Caldwell,Shot following rebound,Right Foot,63,
30,Manchester United,Fulham,Manchester United,Wayne Rooney,Shot inside goal area,Right Foot,42,
30,Norwich City,Wolverhampton Wanderers,Wolverhampton Wanderers,Matthew Jarvis,Cross from open play,Right Foot,25,
30,Norwich City,Wolverhampton Wanderers,Norwich City,Grant Holt,Shot outside goal area,Head,26,
30,Stoke City,Manchester City,Stoke City,Peter Crouch,Shot outside penalty area,Right Foot,59,
30,Stoke City,Manchester City,Manchester City,Yaya Touré,Shot outside penalty area,Right Foot,76,
30,Sunderland,Queens Park Rangers,Sunderland,Nicklas Bendtner,Cross from open play,Head,41,
30,Sunderland,Queens Park Rangers,Sunderland,James McClean,Shot outside goal area,Foot,70,
30,Sunderland,Queens Park Rangers,Sunderland,Stéphane Sessègnon,Shot inside goal area,Right Foot,76,
30,Sunderland,Queens Park Rangers,Queens Park Rangers,Taye Taïwo,Direct from free kick,Foot,79,
30,Swansea City,Everton,Everton,Leighton Baines,Direct from free kick,Left Foot,59,
30,Swansea City,Everton,Everton,Nikica Jelavić,Shot inside goal area,Right Foot,76,
30,West Bromwich Albion,Newcastle United,Newcastle United,Papiss Demba Cissé,Shot inside goal area,Right Foot,6,
30,West Bromwich Albion,Newcastle United,Newcastle United,Hatem Ben Arfa,Shot outside goal area,Left Foot,12,
30,West Bromwich Albion,Newcastle United,Newcastle United,Papiss Demba Cissé,Shot outside goal area,Left Foot,34,
30,West Bromwich Albion,Newcastle United,West Bromwich Albion,Shane Long,Shot outside goal area,Left Foot,52,
31,Aston Villa,Chelsea,Chelsea,Daniel Sturridge,Shot following rebound,Foot,9,
31,Aston Villa,Chelsea,Chelsea,Branislav Ivanović,Cross from corner kick,Right Foot,51,
31,Aston Villa,Chelsea,Aston Villa,James Collins,Cross from throw-in,Head,77,
31,Aston Villa,Chelsea,Aston Villa,Eric Lichaj,Cross from open play,Right Foot,80,
31,Aston Villa,Chelsea,Chelsea,Branislav Ivanović,Shot inside goal area,Head,83,
31,Aston Villa,Chelsea,Chelsea,Fernando Torres,Shot outside goal area,Right Foot,90,2
31,Blackburn Rovers,Manchester United,Manchester United,Antonio Valencia,Shot outside penalty area,Right Foot,81,
31,Blackburn Rovers,Manchester United,Manchester United,Ashley Young,Shot outside penalty area,Right Foot,86,
31,Everton,West Bromwich Albion,Everton,Gareth McAuley,Deflected shot,Unknown,18,
31,Everton,West Bromwich Albion,Everton,Victor Anichebe,Shot outside penalty area,Right Foot,68,
31,Fulham,Norwich City,Fulham,Clint Dempsey,Shot following rebound,Foot,2,
31,Fulham,Norwich City,Fulham,Damien Duff,Shot outside goal area,Left Foot,13,
31,Fulham,Norwich City,Norwich City,Aaron Wilbraham,Shot outside goal area,Right Foot,77,
31,Manchester City,Sunderland,Sunderland,Sebastian Larsson,Shot outside penalty area,Right Foot,31,
31,Manchester City,Sunderland,Sunderland,Nicklas Bendtner,Cross from open play,Head,45,4
31,Manchester City,Sunderland,Sunderland,Sebastian Larsson,Shot inside goal area,Right Foot,55,
31,Manchester City,Sunderland,Manchester City,Mario Balotelli,Shot outside penalty area,Right Foot,85,
31,Manchester City,Sunderland,Manchester City,Aleksandar Kolarov,Shot outside penalty area,Left Foot,86,
31,Newcastle United,Liverpool,Newcastle United,Papiss Demba Cissé,Cross from open play,Head,19,
31,Newcastle United,Liverpool,Newcastle United,Papiss Demba Cissé,Shot inside goal area,Right Foot,59,
31,Queens Park Rangers,Arsenal,Queens Park Rangers,Adel Taarabt,Shot outside penalty area,Right Foot,22,
31,Queens Park Rangers,Arsenal,Arsenal,Theo Walcott,Shot outside goal area,Left Foot,37,
31,Queens Park Rangers,Arsenal,Queens Park Rangers,Samba Diakité,Shot outside goal area,Right Foot,66,
31,Tottenham Hotspur,Swansea City,Tottenham Hotspur,Rafael van der Vaart,Shot outside penalty area,Left Foot,19,
31,Tottenham Hotspur,Swansea City,Swansea City,Gylfi Sigurðsson,Shot outside penalty area,Right Foot,59,
31,Tottenham Hotspur,Swansea City,Tottenham Hotspur,Emmanuel Adebayor,Cross from corner kick,Head,73,
31,Tottenham Hotspur,Swansea City,Tottenham Hotspur,Emmanuel Adebayor,Cross from open play,Head,86,
31,Wigan Athletic,Stoke City,Wigan Athletic,Antolín Alcaraz,Cross from open play,Head,55,
31,Wigan Athletic,Stoke City,Wigan Athletic,Victor Moses,Shot outside goal area,Foot,90,3
31,Wolverhampton Wanderers,Bolton Wanderers,Wolverhampton Wanderers,Michael Kightly,Shot outside penalty area,Left Foot,53,
31,Wolverhampton Wanderers,Bolton Wanderers,Bolton Wanderers,Marcos Alonso Mendoza,Shot following rebound,Left Foot,80,
31,Wolverhampton Wanderers,Bolton Wanderers,Bolton Wanderers,Kevin Davies,Through pass creates 1-v-1,Right Foot,84,
31,Wolverhampton Wanderers,Bolton Wanderers,Wolverhampton Wanderers,Matthew Jarvis,Shot outside goal area,Right Foot,88,
32,Arsenal,Manchester City,Arsenal,Mikel Arteta,Shot outside penalty area,Right Foot,87,
32,Bolton Wanderers,Fulham,Fulham,Clint Dempsey,Direct from free kick,Foot,29,
32,Bolton Wanderers,Fulham,Fulham,Clint Dempsey,Cross from open play,Head,45,
32,Bolton Wanderers,Fulham,Fulham,Mahamadou Diarra,Shot inside goal area,Left Foot,80,
32,Chelsea,Wigan Athletic,Chelsea,Branislav Ivanović,Cross from open play,Right Foot,62,
32,Chelsea,Wigan Athletic,Wigan Athletic,Mohamed Diamé,Shot outside goal area,Left Foot,82,
32,Chelsea,Wigan Athletic,Chelsea,Juan Mata,Shot following rebound,Foot,90,3
32,Liverpool,Aston Villa,Aston Villa,Chris Herd,Shot outside goal area,Right Foot,10,
32,Liverpool,Aston Villa,Liverpool,Luis Suárez,Cross from open play,Head,82,
32,Manchester United,Queens Park Rangers,Manchester United,Paul Scholes,Shot outside penalty area,Right Foot,68,
32,Norwich City,Everton,Everton,Nikica Jelavić,Shot inside goal area,Right Foot,22,
32,Norwich City,Everton,Norwich City,Jonathan Howson,Shot inside goal area,Right Foot,39,
32,Norwich City,Everton,Everton,Nikica Jelavić,Shot outside goal area,Left Foot,61,
32,Norwich City,Everton,Norwich City,Grant Holt,Shot outside goal area,Right Foot,76,
32,Stoke City,Wolverhampton Wanderers,Wolverhampton Wanderers,Michael Kightly,Shot outside penalty area,Foot,26,
32,Stoke City,Wolverhampton Wanderers,Stoke City,Robert Huth,Shot outside penalty area,Right Foot,37,
32,Stoke City,Wolverhampton Wanderers,Stoke City,Peter Crouch,Cross from free kick,Head,61,
32,Swansea City,Newcastle United,Newcastle United,Papiss Demba Cissé,Shot outside penalty area,Right Foot,5,
32,Swansea City,Newcastle United,Newcastle United,Papiss Demba Cissé,Shot outside goal area,Right Foot,69,
32,West Bromwich Albion,Blackburn Rovers,West Bromwich Albion,Martin Olsson,Deflected shot,Unknown,7,
32,West Bromwich Albion,Blackburn Rovers,West Bromwich Albion,Marc-Antoine Fortuné,Cross from open play,Right Foot,69,
